pressure,tenperature,wind_speed,wind_direction,sunshine,precipitation_bracket
879,21,0.3,180,0,<20cm
878,20.2,0.1,0,0,<20cm
877,20.9,0,0,0,<20cm
877,20.6,0,0,0,<20cm
876,20.1,0.8,360,0,<20cm
876,20,1.1,360,0,<20cm
876,19.75,1,22.5,0.1,<20cm
876,19.5,0.8,67.5,0,<20cm
876,19.6,0,0,0,<20cm
876,20.5,0,0,0,<20cm
876,21.3,0,0,0.1,<20cm
876,22.9,0.1,0,0.1,<20cm
876,25.5,0,0,0.8,<20cm
876,24.2,0.1,0,0.4,<20cm
876,26.3,0,0,0.8,<20cm
875,25,0.1,0,0.7,<20cm
873,23.5,0.1,0,0.1,<20cm
873,22.4,0,0,0,<20cm
873,21.6,0,0,0,<20cm
873,21.1,0,0,0,<20cm
872,20.6,0.1,0,0,<20cm
872,20.2,0,0,0,<20cm
872,20,0,0,0,<20cm
872,19.7,0.4,45,0,<20cm
871,19.6,0,0,0,<20cm
871,19.9,0.4,360,0,<20cm
870,19.9,0.1,0,0,<20cm
869,19.8,0,0,0,<20cm
869,19.6,0.5,45,0,<20cm
868,20,0.2,0,0,<20cm
869,19.9,0.2,0,0,<20cm
868,20,0.1,0,0,<20cm
867,20.5,0.9,112.5,0,<20cm
867,20.5,0.8,90,0,<20cm
866,20.5,0.9,45,0,<20cm
866,20.6,0.8,90,0,<20cm
865,20.7,1.3,90,0,<20cm
864,20.9,0.6,45,0,<20cm
863,21.2,0.8,135,0,<20cm
862,21.1,1.2,90,0,<20cm
862,21.2,1.1,90,0,<20cm
861,20.9,1.5,22.5,0,<20cm
860,20.9,2.1,67.5,0,<20cm
861,20.5,1.6,45,0,>=20cm
860,20.65,1.7,90,0,>=20cm
861,20.8,2.2,90,0,<20cm
861,20.6,2.3,22.5,0,>=20cm
861,20.4,2.5,315,0,>=20cm
861,20.2,3.3,270,0,>=20cm
861,20,1.6,247.5,0,>=20cm
860,19.8,1.7,180,0,>=20cm
859,19.9,0.6,157.5,0,>=20cm
860,19.8,0.6,90,0,>=20cm
861,20,0.2,0,0,>=20cm
863,19.9,0.6,180,0,>=20cm
864,19.8,0.5,180,0,>=20cm
865,19.7,0.3,135,0,>=20cm
866,19.5,1.1,180,0,<20cm
867,19.8,1.7,180,0,<20cm
869,19.9,1.6,180,0,<20cm
869,20.1,2.3,180,0,<20cm
870,20.9,2,180,0,<20cm
870,20.9,2,180,0,<20cm
869,20,5.8,180,0,<20cm
871,20.4,3.3,180,0,<20cm
872,20.6,4.7,180,0,<20cm
873,20.6,4.6,180,0,<20cm
874,20.5,2.1,180,0,<20cm
